,Unnamed: 0,Approach 1,Approach 2,Original
0,Participant_ID,0.008333333333333333,0.0,0.1315240083507307
1,RowNumber,0.008333333333333333,0.0,0.14613778705636746
2,session_id,0.0,0.0,0.008350730688935281
3,age,0.18333333333333326,0.09166666666666666,0.5657620041753654
4,backcount1,0.06666666666666668,0.06666666666666668,0.0
5,backcount10,0.05833333333333333,0.05833333333333333,
6,backcount2,0.06666666666666668,0.2,
7,backcount3,0.15,0.13333333333333333,
8,backcount4,0.21666666666666667,0.08333333333333333,
9,backcount5,0.175,0.10833333333333334,
10,backcount6,0.15833333333333333,0.09166666666666666,
11,backcount7,0.05833333333333333,0.08333333333333333,
12,backcount8,0.15,0.05833333333333333,
13,backcount9,0.025,0.04166666666666666,
14,big5_01,0.35,0.3083333333333333,0.9519832985386222
15,big5_02,0.325,0.25,0.9331941544885176
16,big5_03,0.4583333333333333,0.39166666666666666,0.931106471816284
17,big5_04,0.3083333333333333,0.44166666666666665,0.908141962421712
18,big5_05,0.4166666666666667,0.275,0.931106471816284
19,big5_06,0.35,0.21666666666666667,0.8977035490605428
20,big5_07,0.4083333333333333,0.38333333333333336,0.9519832985386222
21,big5_08,0.3583333333333333,0.25833333333333336,0.9331941544885176
22,big5_09,0.25,0.325,0.9248434237995824
23,big5_10,0.275,0.3083333333333333,0.9373695198329852
24,elm_01,0.275,0.25,0.3298538622129436
25,elm_02,0.26666666666666666,0.20833333333333331,0.3883089770354906
26,elm_03,0.225,0.26666666666666666,0.40709812108559496
27,elm_04,0.3083333333333333,0.20833333333333331,0.4091858037578288
28,elm_05,0.3333333333333333,0.275,0.3569937369519833
29,gender,0.75,0.675,0.7118997912317327
30,intrinsic_01,0.4583333333333333,0.4916666666666666,0.5281837160751566
31,intrinsic_02,0.45,0.4583333333333333,0.5093945720250522
32,intrinsic_03,0.4833333333333333,0.5,0.524008350730689
33,intrinsic_04,0.4833333333333333,0.4833333333333333,0.4091858037578288
34,intrinsic_05,0.38333333333333336,0.38333333333333336,0.4572025052192067
35,intrinsic_06,0.4833333333333333,0.5,0.4634655532359082
36,intrinsic_07,0.5083333333333333,0.4166666666666667,0.4551148225469729
37,intrinsic_08,0.43333333333333335,0.4916666666666666,0.4175365344467641
38,intrinsic_09,0.325,0.38333333333333336,0.4008350730688936
39,intrinsic_10,0.4166666666666667,0.2916666666666667,0.3423799582463465
40,intrinsic_11,0.3583333333333333,0.3583333333333333,0.3862212943632568
41,intrinsic_12,0.425,0.475,0.4196242171189979
42,intrinsic_13,0.39166666666666666,0.375,0.35073068893528186
43,intrinsic_14,0.3416666666666667,0.44166666666666665,0.3528183716075157
44,intrinsic_15,0.425,0.45,0.430062630480167
45,kposition,0.7,0.7,0.9624217118997912
46,kratio,0.04166666666666666,0.06666666666666668,0.1315240083507307
47,lposition,0.65,0.6333333333333333,0.9478079331941544
48,lratio,0.016666666666666666,0.04166666666666666,0.1524008350730689
49,mcdv1,0.65,0.6166666666666667,0.6826722338204593
50,mcdv2,0.13333333333333333,0.19166666666666668,0.2233820459290188
51,mcfiller1,0.5333333333333333,0.5833333333333334,0.5636743215031316
52,mcfiller2,0.6083333333333333,0.6416666666666667,0.5908141962421712
53,mcfiller3,0.6333333333333333,0.6583333333333333,0.6993736951983298
54,mood_01,0.2416666666666667,0.2916666666666667,0.9102296450939458
55,mood_02,0.2916666666666667,0.20833333333333331,0.9331941544885176
56,nfc_01,0.36666666666666653,0.325,0.3632567849686848
57,nfc_02,0.4083333333333333,0.4666666666666667,0.5073068893528184
58,nfc_03,0.325,0.3583333333333333,0.3444676409185804
59,nfc_04,0.38333333333333336,0.5166666666666667,0.4154488517745303
60,nfc_05,0.3583333333333333,0.35,0.42171189979123175
61,nfc_06,0.45,0.3583333333333333,0.4237995824634656
62,nposition,0.475,0.5083333333333333,0.9248434237995824
63,nratio,0.05833333333333333,0.04166666666666666,0.12943632567849686
64,pate_01,0.6583333333333333,0.7,0.9979123173277662
65,pate_02,0.6333333333333333,0.6583333333333333,0.9958246346555324
66,pate_03,0.8666666666666667,0.825,0.8789144050104384
67,pate_04,0.7083333333333334,0.6416666666666667,0.8100208768267223
68,pate_05,0.25,0.2416666666666667,0.33194154488517746
69,rposition,0.4916666666666666,0.5666666666666667,0.918580375782881
70,rratio,0.025,0.025,
71,sarcasm,0.16666666666666666,0.16666666666666666,0.1524008350730689
72,selfesteem_01,0.6083333333333333,0.5833333333333334,1.0
73,stress_01,0.43333333333333335,0.475,0.5198329853862212
74,stress_02,0.31666666666666665,0.35,0.5302713987473904
75,stress_03,0.2916666666666667,0.3416666666666667,0.4759916492693111
76,stress_04,0.375,0.425,0.6680584551148225
77,tempest2,0.25833333333333336,0.275,0.2630480167014614
78,tempest3,0.38333333333333336,0.4166666666666667,0.3194154488517745
79,tempfollowup1,0.3416666666666667,0.3416666666666667,0.3528183716075157
80,tempfollowup2,0.375,0.3416666666666667,0.3152400835073069
81,tempfollowup3,0.31666666666666665,0.325,0.2860125260960334
82,vposition,0.6416666666666667,0.6,0.9206680584551148
83,vratio,0.016666666666666666,0.016666666666666666,0.14613778705636746
84,year,0.5916666666666667,0.5166666666666667,0.6638830897703549
85,Temperatureinlab,0.03333333333333333,0.06666666666666668,
86,ClipboardWeight,0.05,0.04166666666666666,0.08559498956158662
87,IIResponse,0.25,0.26666666666666666,0.3298538622129436
88,SRConfidenceResponse,0.26666666666666666,0.2833333333333333,0.2922755741127349
89,NumberofDays,0.25833333333333336,0.19166666666666668,1.0
90,Pool2a,0.8833333333333333,0.9416666666666668,1.0
91,Pool2b,0.6,0.6,1.0
92,Pool2c,0.8833333333333333,0.8,1.0
93,Pool2d,0.925,0.925,1.0
94,Pool3,0.26666666666666666,0.2833333333333333,1.0
95,Pool4,0.9666666666666668,0.95,
96,Pool5a,0.9166666666666666,0.9166666666666666,1.0
97,Pool6,0.9583333333333334,0.9416666666666668,1.0
98,Pool7b,0.7916666666666666,0.825,0.9916492693110648
99,Pool7c,0.875,0.8416666666666667,1.0
100,Pool7d,0.8916666666666667,0.9166666666666666,1.0
101,Pool8,0.75,0.8,1.0
102,Pool9,0.9416666666666668,0.9583333333333334,1.0
103,Pool10,1.0,1.0,1.0
104,Pool11,0.6,0.5583333333333333,1.0
105,Pool12,0.05833333333333333,0.15,1.0
106,Pool13,0.06666666666666668,0.016666666666666666,1.0
107,Pool14,0.04166666666666666,0.08333333333333333,1.0
108,Pool15,0.15,0.175,1.0
109,Pool16a,0.8916666666666667,0.9666666666666668,1.0
110,Pool16b,0.925,0.8416666666666667,1.0
111,Pool17,0.4916666666666666,0.4916666666666666,1.0
112,Pool18,0.9,0.8333333333333334,1.0
113,Pool19a,0.4833333333333333,0.4083333333333333,1.0
114,Pool19b,1.0,1.0,
115,Persistence,0.025,0.0,
116,anagrams_order,0.04166666666666666,0.03333333333333333,0.03549060542797495
117,attention_order,0.11666666666666667,0.08333333333333333,0.2004175365344468
118,availinstruct_order,0.225,0.325,0.7056367432150313
119,availk_order,0.19166666666666668,0.10833333333333334,0.26931106471816285
120,availl_order,0.11666666666666667,0.2,0.21085594989561587
121,availn_order,0.11666666666666667,0.15,0.2171189979123173
122,availr_order,0.225,0.16666666666666666,0.2254697286012526
123,availv_order,0.18333333333333326,0.15833333333333333,0.24425887265135696
124,bigfive_order,0.13333333333333333,0.10833333333333334,0.17536534446764093
125,debrief_order,1.0,1.0,0.9832985386221296
126,demographics_order,0.125,0.14166666666666666,0.9853862212943632
127,elmques_order,0.04166666666666666,0.04166666666666666,0.06680584551148225
128,filler1_order,0.4166666666666667,0.425,1.0
129,filler2_order,0.43333333333333335,0.3333333333333333,1.0
130,galinskyvignette_order,0.43333333333333335,0.2916666666666667,1.0
131,inlab_order,0.03333333333333333,0.09166666666666666,0.031315240083507306
132,intrinsic_order,0.125,0.11666666666666667,0.15657620041753653
133,mcfiller_order,0.20833333333333331,0.325,1.0
134,moninvignette_order,0.20833333333333331,0.175,1.0
135,mood_order,0.19166666666666668,0.175,0.18580375782881006
136,nfc_order,0.08333333333333333,0.05833333333333333,0.13778705636743216
137,participantid_order,1.0,1.0,0.9206680584551148
138,participation_order,0.06666666666666668,0.175,0.17118997912317327
139,selfesteem_order,0.18333333333333326,0.11666666666666667,0.15866388308977036
140,startpage_order,1.0,1.0,1.0
141,stress_order,0.11666666666666667,0.19166666666666668,0.19206680584551147
142,stroop_order,0.375,0.5083333333333333,0.9958246346555324
143,stroopinstructions_order,0.4583333333333333,0.325,1.0
144,stroopinstructionstest_order,0.3583333333333333,0.3583333333333333,1.0
145,stroopprac_order,0.4083333333333333,0.3583333333333333,1.0
146,tempestimate_order,0.3,0.19166666666666668,1.0
147,tempfollowup_order,0.31666666666666665,0.16666666666666666,1.0
148,welcome_order,1.0,1.0,1.0
149,MonthComputer,0.6833333333333333,0.8,1.0
150,DayComputer,0.11666666666666667,0.15,0.9164926931106472
151,YearComputer,1.0,1.0,1.0
152,DaysSinceMonthComputer,0.175,0.25,0.9979123173277662
153,DaysSinceAugComputer,0.05833333333333333,0.10833333333333334,0.9206680584551148
154,DaysSinceMonthLab,0.06666666666666668,0.175,1.0
155,DaysSinceAugLab,0.10833333333333334,0.05833333333333333,0.918580375782881
156,DaysSinceMonthStart,0.275,0.38333333333333336,1.0
157,DaysSinceAugStart,0.3,0.39166666666666666,1.0
158,DaysInComp,1.0,0.8,
159,DaysInLab,0.9833333333333332,0.7083333333333334,
160,Openness,0.4166666666666667,0.2833333333333333,
161,Conscientiousness,0.25833333333333336,0.2416666666666667,
162,Extraversion,0.45,0.3083333333333333,
163,Agreeableness,0.425,0.3333333333333333,
164,Neuroticism,0.39166666666666666,0.4,
165,Intrinsic,0.6166666666666667,0.4583333333333333,
166,Mood,0.2416666666666667,0.13333333333333333,
167,NFC,0.4666666666666667,0.4916666666666666,
168,ReportedAttention,0.6916666666666667,0.6916666666666667,0.9853862212943632
169,ReportedEffort,0.625,0.6583333333333333,0.9874739039665972
170,SelfEsteem,0.6583333333333333,0.5,0.9665970772442588
171,Stress,0.43333333333333335,0.4833333333333333,
172,K1st,0.525,0.5416666666666666,0.9686847599164928
173,L1st,0.475,0.5583333333333333,0.9728601252609604
174,N1st,0.6166666666666667,0.6333333333333333,0.9791231732776616
175,R1st,0.6166666666666667,0.5916666666666667,0.9791231732776616
176,V1st,0.575,0.5833333333333334,0.9707724425887264
177,AvailFirst,0.4916666666666666,0.4666666666666667,0.7640918580375783
178,ArgumentQuality,0.4166666666666667,0.4666666666666667,
179,NFCcenter,0.9333333333333332,0.9333333333333332,
180,ELMCond,0.14166666666666666,0.625,0.0
181,CBReject,0.8916666666666667,0.8916666666666667,0.8914405010438413
